Category,Type,Lot #,Shape,Carat,Color,Clarity,Cut,Pol.,Sym.,Depth %,Table %,Fluor.,Measurement,Lab,Certificate #,Rap. Price,Discount,Price/Ct,Total Price,Cert,Video,Cert,Video,,
Certified,1-1.49,11137,TRIL,1.35,H,SI1,,G,G,34.4,62,MED,8.48 x 9.22 x 3.17,GIA,5192848619,"$4,800 ",-32.83%,"$3,224 ","$4,352 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5192848619,https://up.diacam360.com/scan/1849_271315,,
Certified,1-1.49,11948,TRIL,1.21,H,SI1,,EX,EX,31.9,66,FNT,8.47 x 8.83 x 2.81,GIA,6332464925,"$4,800 ",-45.83%,"$2,600 ","$3,146 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6332464925,https://up.diacam360.com/scan/da9c_356362,,
Certified,1-1.49,11956,TRIL,1.01,H,SI1,,VG,VG,38.8,64,FNT,7.29 x 7.62 x 2.96,GIA,3335406088,"$4,800 ",-40.42%,"$2,860 ","$2,889 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=3335406088,https://up.diacam360.com/scan/43ff_356351,,
Certified,1-1.49,11957,TRIL,1.01,H,SI1,,VG,VG,41.5,65,FNT,7.36 x 7.33 x 3.04,GIA,1333075848,"$4,800 ",-45.83%,"$2,600 ","$2,626 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1333075848,https://up.diacam360.com/scan/62a9_356348,,
Certified,1-1.49,11954,TRIL,1.01,I,VS1,,EX,VG,40.6,68,NON,7.49 x 7.52 x 3.05,GIA,6331724968,"$4,600 ",-36.09%,"$2,940 ","$2,969 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6331724968,https://up.diacam360.com/scan/f54c_356353,,
Certified,1-1.49,10370,TRIL,1.02,I,VS2,,VG,VG,35.1,58,None,7.60 x 8.36 x 2.93,,,"$4,400 ",-31.64%,"$3,008 ","$3,068 ",,VIDEO,0,http://up.diacam360.com/scan/b791_91634,,
Certified,1-1.49,10373,TRIL,1.05,I,SI1,,VG,VG,32.3,62,FNT,7.78 x 8.74 x 2.82,GIA,5171728244,"$4,200 ",-30.36%,"$2,925 ","$3,071 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=5171728244,http://up.diacam360.com/scan/99d5_91646,,
Certified,1-1.49,11953,TRIL,1.04,I,SI1,,VG,EX,40.1,66,NON,7.14 x 7.96 x 3.19,GIA,2336784084,"$4,200 ",-35.71%,"$2,700 ","$2,808 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2336784084,https://up.diacam360.com/scan/70e4_356357,,
Certified,1-1.49,11958,TRIL,1.3,I,SI1,,EX,EX,37.6,68,NON,8.34 x 8.39 x 3.16,GIA,2237921726,"$4,200 ",-34.64%,"$2,745 ","$3,569 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2237921726,0,,
Certified,1-1.49,10372,TRIL,1.03,I,SI2,,VG,VG,32.3,60,NON,7.80 x 8.70 x 2.81,GIA,6173728255,"$3,800 ",-29.87%,"$2,665 ","$2,745 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6173728255,http://up.diacam360.com/scan/ce09_91645,,
